Perna de porco magra estufada com azeite e margarina,Carne e Derivados Criação e Caça,847.0 kJ,203.0 kcal,11.6 g,0.7 g,1120.0 mg,22.4 g,67.0 mg
Perna de porco magra estufada com margarina,Carne e Derivados Criação e Caça,828.0 kJ,198.0 kcal,11.1 g,0.7 g,1200.0 mg,22.4 g,67.0 mg
Perna de porco magra estufada com óleo alimentar e banha,Carne e Derivados Criação e Caça,858.0 kJ,206.0 kcal,11.9 g,0.7 g,1080.0 mg,22.4 g,68.0 mg
Perna de porco magra estufada sem molho,Carne e Derivados Criação e Caça,893.0 kJ,213.0 kcal,11.0 g,0.0 g,650.0 mg,28.6 g,87.0 mg
Perna de porco magra grelhada,Carne e Derivados Criação e Caça,900.0 kJ,215.0 kcal,11.7 g,0.0 g,520.0 mg,27.5 g,88.0 mg
Toucinho de porco entremeado fresco cru,Carne e Derivados Criação e Caça,2810.0 kJ,682.0 kcal,72.0 g,0.0 g,170.0 mg,8.4 g,68.0 mg
Toucinho de porco entremeado fresco grelhado sem adição de sal,Carne e Derivados Criação e Caça,2790.0 kJ,676.0 kcal,67.9 g,0.0 g,350.0 mg,16.1 g,100.0 mg
Toucinho de porco entremeado ligeiramente salgado cru,Carne e Derivados Criação e Caça,2090.0 kJ,506.0 kcal,50.1 g,0.0 g,3550.0 mg,13.7 g,55.0 mg
Toucinho de porco entremeado ligeiramente salgado cozido sem adição de sal,Carne e Derivados Criação e Caça,1540.0 kJ,372.0 kcal,33.9 g,0.0 g,2150.0 mg,16.7 g,71.0 mg
Bife de vaca (valor médio de acém alcatra e lombo) cru,Carne e Derivados Criação e Caça,514.0 kJ,122.0 kcal,4.3 g,0.0 g,150.0 mg,20.9 g,61.0 mg
Bife de vaca (valor médio de acém alcatra e lombo) frito com manteiga,Carne e Derivados Criação e Caça,839.0 kJ,201.0 kcal,11.5 g,0.1 g,1300.0 mg,24.2 g,89.0 mg
